name;eva
Altdorf West;8000504
Altdöbern;8011016
Altdöbern Am Markt;8071406
Alte Brücke Heidelberg;301139
Alte Liebe (Bus) Cuxhaven;360003
Alte Römerstraße Rheinzabern;301743
Alte Veste;8000511
Altefähr;8011017
Altena (Westf);8000513
Altenahr;8000514
Altenau (Bay);8000515
Altenau Säge Saulgrub;590417
Altenbach;8011018
Altenbamberg;8000517
Altenbeken;8000004
Altenbeken-Buke Hühnerfeld;8071306
Altenberge;8000518
Altenbrunslar Felsberg;712460
Altenburg;8010003
Altenerding;8000524
Altenerding Erding;624273
Altenessen Bahnhof Essen (Ruhr);369897
Altenfeld (Rhön);8000525
Altenfeld (Rhön) Fuldatalstraße;8071386
Altenfelden Bahnhof Allersberg;461042
Altenglan;8000491
Altengörs;8000526
Altengörs Bahnhofstraße Neuengörs;701204
Altenhasungen;8000530
Altenhasungen Friedhof Wolfhagen;710351
Altenkirchen (Westerwald);8000351
Altenmarkt (Alz);8000533
Altenrade Kiel;705750
Altenseelbach;8000537
Altenseelbach Kölner Straße;8071350
Altenstadt (Hess);8000538
Altenstadt (Iller);8000539
Altenstadt (Waldnaab);8000540
Altenstadt-Höchst;8002886
Altenstadt-Lindheim;8003698
Altentor Nordhausen;248320
Altentreptow;8011025
Altentreptow ZOB;8079706
Altenwillershagen;8011027
Altenwillershagen Feuerwehr;8087035
Altenwillershagen Feuerwehr Ahrenshagen-Daskow;325770
Altenwohnheim Ascheberg (Westf);900564
Altersbach;8011028
Altes Lager;8011968
Altes Lager Bahnhof Niedergörsdorf;727684
Altes Rathaus Dettenhausen;555862
Altglashütten Bahnhof Feldberg (Schwarzwald);503147
Altglashütten Feldberghalle Feldberg (Schwarzwald;503286
Altglashütten Windgfällstraße Feldberg (Schwarzwa;503298
Altglashütten-Falkau;8000544
Althegnenberg;8000545
Altheim (Hess);8000546
Altheim Bahnhof Münster b Dieburg;111260
Althof;8011031
Altingen (Württ);8070591
Altingen Bahnhof Ammerbuch;750026
Altmarkt/Regierungspräsidium Kassel;712165
Altmittweida;8011033
Altmittweida Neusorger Straße;8070945
Altmorschen;8000553
Altmorschen Bahnhof Morschen;715834
Altmügeln;8070697
Altomünster;8000556
Altona (Fischmarkt) Hamburg;692685
Altoschatz-Rosenthal;8070689
Altplauen Dresden;130157
Altranft;8011034
Altranft Bahnhof Bad Freienwalde (Oder);739531
Altshausen;8000559
Altstadt (Bus) Stolberg (Rhld);585862
Altstadt Bahnhof Brandenburg an der Havel;737280
Altstadt Heidelberg;201166
Altstadtbahnhof Lutherstadt Wittenberg;960249
Altstädten (Allgäu);8000561
Alttann;8000562
Altötting;8000555
Alveslohe;8070185
Alzenau (Unterfr);8007275
Alzenau Burg;8077275
Alzenau Nord;8077274
Alzey;8000007
Alzey Süd;8000558
Alzey West;8007474
Am Annatal Strausberg;738713
Am Backofen Pretzfeld;461507
Am Bahnhof (Bus) Großharthau;107104
Am Bahnhof (Süd) Ottersberg;611912
Am Bahnhof Demmin;332807
Am Bahnhof Oberwiesenthal;982586
Am Bahnhof St Magnus Bremen;605716
Am Bahnhof Tönning;695437
Am Bahnhofsplatz Bad Harzburg;954333
Am Birkengrund Ludwigsfelde;736862
Am Bürgerpark Bahnhof Kyritz;737976
Am Deisterbahnhof Bad Münder am Deister;628353
Am Farrenberg (Hp) Ottendorf-Okrilla;975670
Am Glücksberg Chemnitz;230483
Am Kaiser Neuss;364390
Am Kaiser S-Bahnhof Neuss;660522
Am Langsee Kiel;703739
Am Markt Altdöbern;741112
Am Markt Eberswalde;739708
Am Mühlbuckel Bellheim;301746
Am Schnellen Markt Chemnitz;982172
Am Spangl Regenstauf;360957
Am Stern Kassel;715108
Am Urnenfeld Dresden;972288
Am Waldrand Lalendorf;935886
Am Weinberg Kassel;712236
Am Ziegenberg Kassel;716003
Ambach Schiff Münsing;620085
Amberg;8000566
Amelsbüren Bahnhof Münster (Westf);906822
Amerang;8070802
Ammendorf Halle (Saale);953007
Ammern;8011029
Amorbach;8000575
Ampfing;8000576
Amsdorf;8011038
Amsdorf (Bus) Seegebiet Mansfelder Land;955329
Amstetten (W) Lokalbahn;8079075
Amstetten (Württ);8000577
Amt Biesenthal;739642
Amtsgericht Nürtingen;558058
Amtshainersdorf;8011039
An de Geest Hamburg;693818
An der B104 Brüsewitz;320387
An der Bahnbrücke Chemnitz;984510
An der Enckekaserne Magdeburg;964451
Andernach;8000331
Andernach KD;8075950
Angermund;8000579
Angermund S-Bahnhof Düsseldorf;653400
Angermünde;8010004
Angern-Rogätz;8011042
Angersbach;8000580
Angersbach Rathaus;8071501
Angersbach Rathaus Wartenberg (Hessen);127297
Angersdorf;8011043
Anklam;8011044
Anleger Neuharlingersiel;602041
Annaberg-Buchholz Mitte;8011045
Annaberg-Buchholz Süd;8010005
Annaberg-Buchholz unterer Bf;8011047
Annaburg;8011048
Annakirmesplatz (Bus) Düren;268033
Annapark Bahnhof (Bus) Alsdorf (Rheinland);267628
Annen Nordbahnhof Witten;105372
Annenplatz Chemnitz;982078
Annenstr Chemnitz;984606
Annenstr Leipzig;957401
Annweiler am Trifels;8000582
Annweiler-Sarnstall;8005257
Anrath;8000584
Anrath Bahnhof Willich;221676
Ansbach;8000009
Anspach Bahnhof Neu-Anspach;106303
Antonsthal;8011049
Antonsthal Breitenbrunn/Erzgeb;981851
Anwanden;8000588
Anwanden Bahnhof Zirndorf;460327
Anzefahr;8000589
Anzenkirchen;8000590
Anzenkirchen Abzw Bahnhof Triftern;544045
Apensen;8007831
Aplerbeck Südbahnhof Dortmund;656896
Apolda;8011051
Appelhülsen Bahnhof Nottuln;901964
Appenweier;8000596
Aprath Bahnhof Wülfrath;664231
Arbeitsagentur Karlsruhe;723254
Archsum;8084099
Ardey;8000597
Ardey Bahnhof Fröndenberg;414812
Arensdorf (Köthen);8011053
Arensdorf (Köthen) Badegaster Weg;8071797
Arenshausen;8011054
Arfurt (Lahn);8000599
Arfurt Bürgerhaus;8071346
Arfurt Bürgerhaus Runkel;103495
Argelsried Bahnhof Gilching;624520
Argentinienbrücke (Fähre) Hamburg;693394
Argentinienbrücke Hamburg;693390
Arheilgen Bahnhof Darmstadt;104733
Arheilgen Bahnhof West Darmstadt;101866
Arloff;8000601
Arloff Bahnhof Bad Münstereifel;445822
Armsheim;8000602
Arnbach;8000603
Arndtstraße Ettlingen;722050
Arningstraße (Fähre) Hamburg;701200
Arningstraße Hamburg;693387
Arnsberg (Westf);8000605
Arnschwang;8000606
Arnsdorf (Dresden);8010006
Arnstadt Hbf;8010007
Arnstadt Süd;8011055
Arrach;8007343
Arsbeck;8000611
Arsbeck Roermonder Bahn Wegberg;585479
Artern;8012440
Arzberg (Oberfr);8000613
Asamstraße Bruchsal;723343
Aschaffenburg Hbf;8000010
Aschaffenburg Hochschule;8000618
Aschaffenburg Süd;8000619
Aschau (Chiemgau);8000621
Ascheberg (Holst);8000011
Ascheberg (Westf);8000623
Ascheberg Bahnhofsweg;8071310
Aschendorf;8000624
Aschendorf Bahnhof/Große Straße Papenburg;601511
Aschersleben;8010009
Asemissen Bahnhof Oerlinghausen Leopoldshöhe;925861
Ashausen;8000627
Ashausen Bahnhof Stelle;627270
Asperg;8000630
Aspertsham Fürstenzell;547225
Asselheim;8000625
Asseln S-Bahnhof Mitte Dortmund;651887
Assenheim (Oberhess);8000632
Assmannshausen;8000635
Assmannshausen Bahnhof Rüdesheim am Rhein;111035
Assmannshausen KD;8075967
Assmannshausen Schiffsanlegest Rüdesheim am Rhei;118371
Asternplatz Berlin;731782
Atsch Schneidmühle (Bus) Stolberg (Rhld);585853
Attendorn;8000638
Attendorn-Hohen Hagen;8087039
Au (Sieg);8000012
Au (Sieg) Bahnhof Windeck;204719
Au im Murgtal;8000643
Aubing München;622462
Audi - Bahnhalt Süd Ingolstadt;789322
Aue (Sachs);8010010
Aue (Sachs) Erzgebirgsstadion;8010027
Aue Bahnhof Aue-Bad Schlema;983899
Aue Bahnhof L553 Bad Berleburg;414934
Aue Bahnhofsvorplatz Aue-Bad Schlema;981780
Aue Stadion Aue-Bad Schlema;968519
Aue-Wingeshausen;8000647
Auehütte;8011057
Auerbach (V) ob Bf;8010011
Auerbach (V) unt Bf;8010012
Auerbach (Vogtl) Hp;8011059
Auerbach (b Mosbach Baden);8000649
Auerbach Bahnhof Bensheim;505190
Auersmacher;8000651
Auersmacher Bahnhof Kleinblittersdorf;839419
Auerstedt;8011060
Auestadion Kassel;714006
Auf dem Kiewitt/Fähre Potsdam;736270
Aufen Donaueschingen;500779
Aufenau Kindergarten;8079031
Aufhausen (Württ);8000655
Aufhausen (b Erding);8000653
Augartenstraße Karlsruhe;130074
Auggen;8000657
Augsburg Haunstetterstraße;8000658
Augsburg Hbf;8000013
Augsburg Messe;8000659
Augsburg Morellstraße;8000660
Augsburg-Hochzoll;8000661
Augsburg-Oberhausen;8000662
August-Bebel-Straße Karlsruhe;361104
Augustfehn;8000664
Augustfehn Bahnhof Apen;602728
Augustusburg Bergstation;8080060
Auhausen;8071103
Aukrug;8003078
Aulendorf;8000014
Aumenau;8000668
Aumenau Bahnhof Villmar;111115
Aumenau Lahnstraße;8071345
Aumenau Lahnstraße Villmar;128480
Aumühle;8000669
Aurich ZOB WEB;8000670
Auringen-Medenbach;8000671
Auringen-Medenbach Bahnhof Wiesbaden;111129
Auw an der Kyll;8000674
Außenhafen Borkumanleger Emden (Ostfriesland);610521
Außenried;8000672
Außenried Bahnübergang Langdorf;547743
Aying;8000675
Aßlar;8000633
Aßling;626334
Aßling (Oberbay);8000634
B104 Holdorf (Meckl);368280
B106 Dorf Mecklenburg;321184
BASF Süd Ludwigshafen am Rhein;518274
BBT/Schulzentrum Tuttlingen;501857
BOB-Bahnhof Weingarten (Württ);493017
Baabe;8011063
Baabe (Bahnhof);952008
Baal Bahnhof Hückelhoven;585425
Baalberge;8010013
Baar-Ebenhausen;8000678
Babenhausen (Hess);8000015
Babenhausen Langstadt;8003559
Babstadt;8000681
Babstadt Bahnhof Bad Rappenau;721825
Bacharach;8000683
Bacharach KD;8075964
Bachern;8000685
Bachern Bergkirchen;623741
Bachfeld;8011065
Bachfeld Ort;210381
Bachheim;8000686
Bachstr (U Hansaplatz) Berlin;730741
Backnang;8000016
Bad Abbach;8000689
Bad Abbach Ort;8096031
Bad Aibling;8000690
Bad Aibling Kurpark;8000696
Bad Arolsen;8000609
Bad Bahnhof Salzgitter;889576
Bad Bederkesa;8070050
Bad Bellingen;8000864
Bad Belzig;8010031
Bad Bentheim;8000879
Bad Bentheim (Gr);8000151
Bad Bergzabern;8000691
Bad Berka;8011066
Bad Berka Zeughausplatz;8011067
Bad Berleburg;8000907
Bad Bevensen;8000935
Bad Birnbach;8000988
Bad Blankenburg (Thüringerw);8010014
Bad Bodendorf;8001049
Bad Bodendorf Bahnhof/Bäderstraße Sinzig;459522
Bad Bodenteich;8001052
Bad Brambach;8011068
Bad Bramstedt;8007058
Bad Bramstedt Kurhaus;8007057
Bad Breisig;8000694
Bad Breisig KD;8075948
Bad Camberg;8001322
Bad Cannstatt Bahnhof Stuttgart;361455
Bad Cannstatt Stuttgart;366333
Bad Cannstatt Wilhelmsplatz Stuttgart;361332
Bad Doberan;8010016
Bad Doberan Goethestraße;8011069
Bad Doberan Stadtmitte;8081085
Bad Driburg (Westf);8000697
Bad Driburg Bahnhof;920506
Bad Driburg Polizei;8071934
Bad Dürkheim;8000698
Bad Dürkheim-Trift;8000708
Bad Dürrenberg;8011071
Bad Elster;8011072
Bad Empfing;8000700
Bad Ems;8000701
Bad Ems West;8000702
Bad Endorf;8001787
Bad Fallingbostel;8001958
Bad Freienwalde;8010017
Bad Friedrichshall-J;755009
Bad Friedrichshall-Jagstfeld;8000017
Bad Friedrichshall-Kochendorf;8000704
Bad Füssing Füssinger Hof;8084075
Bad Gandersheim;8000352
Bad Godesberg Bahnhof Bonn;442899
Bad Godesberg Bahnhof/Löbestr Bonn;443673
Bad Godesberg Bahnhof/Rheinallee Bonn;458961
Bad Godesberg Fähre Bonn;443723
Bad Godesberg Von-Groote-Platz/Bahnhof Bonn;446073
Bad Griesbach (Schwarzwald);8000707
Bad Griesbach Bahnhof Bad Peterstal-Griesbach;368860
Bad Grönenbach;8002378
Bad Harzburg;8000019
Bad Herrenalb;8007011
Bad Hersfeld;8000020
Bad Homburg;8000712
Bad Honnef (Rhein);8000713
Bad Honnef (Rhein) KD;8075944
Bad Honnef Stadtbahn;8070073
Bad Honnef am Spitzenbach;8070770
Bad Höhenstadt;8000710
Bad Höhenstadt Bahnhof Fürstenzell;541794
Bad Hönningen;8000711
Bad Hönningen KD;8075949
Bad Imnau;8070309
Bad Karlshafen;8003182
Bad Kissingen;8000714
Bad Kleinen;8010018
Bad Kohlgrub;8000716
Bad Kohlgrub Kurhaus;8000717
Bad Kreuznach;8000021
Bad Krozingen;8000718
Bad Krozingen Ost;8007330
Bad König;8000715
Bad König Zell;8006643
Bad Kösen;8010019
Bad Kösen Bahnhof (Bus) Naumburg (Saale);959487
Bad Köstritz;8011074
Bad Kötzting;8003393
Bad Laasphe;8003486
Bad Laasphe-Niederlaasphe;8003493
Bad Langensalza;8010020
Bad Lauchstädt;8011075
Bad Lauchstädt West;8011076
Bad Lausick;8011077
Bad Lauterberg im Harz Barbis;8005324
Bad Liebenwerda;8011078
Bad Liebenzell;8000721
Bad Lobenstein;8013452
Bad Malente-Gremsmühlen;8003829
Bad Mergentheim;8000724
Bad Münder (Deister);8000725
Bad Münster Bahnhof Bad Kreuznach;505383
Bad Münster am Stein;8000726
Bad Münstereifel;8000727
Bad Nauheim;8000728
Bad Nenndorf;8000022
Bad Neuenahr;8000729
Bad Neuenahr Bahnhof Bad Neuenahr-Ahrweiler;458339
Bad Neuenahr-Lohrsdorf In den Auen Bad Neuenahr-A;111300
Bad Neustadt (Saale);8000730
Bad Neustadt (Saale) Busbahnhof;8089251
Bad Niedernau;8000731
Bad Nieuweschans Bahnhof Niederlande;601692
Bad Oeynhausen;8000732
Bad Oeynhausen Süd;8000733
Bad Oldesloe;8000023
Bad Orb Busbf;8089221
Bad Peterstal;8000734
Bad Peterstal Bahnhof Bad Peterstal-Griesbach;750070
Bad Pyrmont;8000735
Bad Rappenau;8000736
Bad Rappenau Busbf R;8070924
Bad Rappenau Kurpark;8000777
Bad Reichenhall;8000737
Bad Reichenhall Hbf;877056
Bad Reichenhall Tiroler Tor;877052
Bad Reichenhall-Kirchberg;8000738
Bad Rodach;8005112
Bad Rotenfels Bf;8005183
Bad Rotenfels Schloss;8005186
Bad Rotenfels Weinbrennerstraße;8005187
Bad Saarow;8011079
Bad Saarow Bahnhof Bad Saarow-Pieskow;278100
Bad Saarow Klinikum;8010028
Bad Saarow-Pieskow;8011080
Bad Sachsa;8000739
Bad Salzdetfurth;8000740
Bad Salzdetfurth Solebad;8000759
Bad Salzhausen;8000741
Bad Salzig Bahnhof/Binger Straße Boppard;373518
Bad Salzig KD;8075959
Bad Salzschlirf;8000743
Bad Salzuflen;8000744
Bad Salzungen;8010021
Bad Sassendorf;8000745
Bad Saulgau;8005301
Bad Schachen;8079006
Bad Schandau;8010022
Bad Schandau-Postelwitz;8071514
Bad Schlema;8012873
Bad Schlema Bahnhof Aue-Bad Schlema;981761
Bad Schmiedeberg;8011081
Bad Schmiedeberg Kurzentrum;8070831
Bad Schussenried;8000746
Bad Schwartau;8000749
Bad Schönborn Süd;8003533
Bad Schönborn-Kronau;8004032
Bad Sebastiansweiler-Belsen;8000750
Bad Segeberg;8000751
Bad Sobernheim;8005583
Bad Soden (Taunus);8000752
Bad Soden-Salmünster;8005261
Bad Sooden-Allendorf;8000753
Bad St. Peter Süd;8000754
Bad St. Peter-Ording;8000755
Bad Staffelstein;8005670
Bad Staffelstein Thermalbad;8089311
Bad Steben;8000756
Bad Suderode;8011084
Bad Suderode Bahnhof (Bus) Quedlinburg;956649
Bad Sulza;8011085
Bad Sulza Nord;8011086
Bad Säckingen;8005255
Bad Teinach-Neubulach;8000757
Bad Tölz;8000758
Bad Tönisstein;8070314
Bad Urach;8006029
Bad Urach Ermstalklinik;8006027
Bad Urach Wasserfall;8070680
Bad Vilbel;8000760
Bad Vilbel Süd;8000761
Bad Vilbel-Gronau;8002382
Bad Waldsee;8000763
Bad Wildbad Bf;8006431
Bad Wildbad Kurpark;8070283
Bad Wildbad Nord;8070281
Bad Wildbad Uhlandplatz;8070282
Bad Wildungen;8000764
Bad Wilsnack;8011088
Bad Wimpfen;8000765
Bad Wimpfen Im Tal;8000706
Bad Wimpfen Parkplatz Seegarten;8070920
Bad Wimpfen-Hohenstadt;8000766
Bad Windsheim;8000767
Bad Wurzach;8000769
Bad Wörishofen;8000768
Bad Zwischenahn;8000770
Baddeckenstedt;8000772
Baddeckenstedt Bf;8082058
Baden (Verden);8000773
Baden Bahnhof Achim b Bremen;616230
Baden-Baden;8000774
Baden-Baden Haueneberstein;8000771
Baden-Baden Rebland;8000775
Baden-Brennet Bahnhof Wehr (Baden);421000
Bagenz;8011097
Bagenz Weg zum Bahnhof Neuhausen/Spree;742172
Bahlingen am Kaiserstuhl;8007293
Bahlingen-Riedlen;8007310
Bahnbrücken;8007144
Bahnbrücken Bahnhof Kraichtal;724269
Bahnhalt Brunnen (Oberbayern);202004
Bahnhalt Eschach Weißenhorn;800439
Bahnhalt Finninger Str Nord Neu-Ulm;800841
Bahnhalt Finninger Str Süd Neu-Ulm;800842
Bahnhalt Heimenkirch;362515
Bahnhalt Klosterlechfeld;207300
Bahnhalt Neuburg a d Kammel;871796
Bahnhalt Obergriesbach;781048
Bahnhaltepunkt Reichenberg (Unterfranken);462454
Bahnhof (Arena) Ludwigsburg (Württ);555774
Bahnhof (Brücke) Hofgeismar;928087
Bahnhof (Bus) Altenburg;201164
Bahnhof (Bus) Annaburg;954266
Bahnhof (Bus) Artern (Unstrut);956970
Bahnhof (Bus) Aschersleben;964355
Bahnhof (Bus) Barleben;964226
Bahnhof (Bus) Beilrode;130511
Bahnhof (Bus) Biederitz;956541
Bahnhof (Bus) Blankenburg (Harz);954250
Bahnhof (Bus) Borna;955522
Bahnhof (Bus) Borsdorf;963960
Bahnhof (Bus) Braunsbedra;962922
Bahnhof (Bus) Bräunlingen;504509
Bahnhof (Bus) Buggingen;367764
Bahnhof (Bus) Coswig (Anhalt);955940
Bahnhof (Bus) Crimmitschau;200553
Bahnhof (Bus) Dahlen;961379
Bahnhof (Bus) Eggingen;360658
Bahnhof (Bus) Eichstetten am Kaiserstuhl;106452
Bahnhof (Bus) Eilenburg;958077
Bahnhof (Bus) Eisleben;954829
Bahnhof (Bus) Erkelenz;585368
Bahnhof (Bus) Flechtingen;959139
Bahnhof (Bus) Freyburg (Unstrut);960589
Bahnhof (Bus) Frohburg;200258
Bahnhof (Bus) Gardelegen;958274
Bahnhof (Bus) Geilenkirchen;585540
Bahnhof (Bus) Geisingen;498277
Bahnhof (Bus) Geithain;200267
Bahnhof (Bus) Genthin;962337
Bahnhof (Bus) Giersleben;956718
Bahnhof (Bus) Gommern;956298
Bahnhof (Bus) Grimma;200389
Bahnhof (Bus) Gößnitz;984393
Bahnhof (Bus) Güsten;959163
Bahnhof (Bus) Harzgerode;955550
Bahnhof (Bus) Heimbach (Eifel);585006
Bahnhof (Bus) Herzogenrath;267203
Bahnhof (Bus) Hettstedt;956727
Bahnhof (Bus) Ilberstedt;954117
Bahnhof (Bus) Ilsenburg (Harz);955138
Bahnhof (Bus) Jessen (Elster);953897
Bahnhof (Bus) Karsdorf;960719
Bahnhof (Bus) Kreuzau;268527
Bahnhof (Bus) Könnern;959185
Bahnhof (Bus) Köthen (Anhalt);957589
Bahnhof (Bus) Langerwehe;585213
Bahnhof (Bus) Langweid a Lech;780900
Bahnhof (Bus) Laucha an der Unstrut;960594
Bahnhof (Bus) Markranstädt;957191
Bahnhof (Bus) Merzenich;268526
Bahnhof (Bus) Mockrehna;962675
Bahnhof (Bus) Narsdorf;200318
Bahnhof (Bus) Naunhof;957654
Bahnhof (Bus) Nebra (Unstrut);960736
Bahnhof (Bus) Nienburg (Saale);959242
Bahnhof (Bus) Oschatz;973232
Bahnhof (Bus) Otterwisch;370240
Bahnhof (Bus) Pegau;957775
Bahnhof (Bus) Quedlinburg;955278
Bahnhof (Bus) Querfurt;957515
Bahnhof (Bus) Regis-Breitingen;200199
Bahnhof (Bus) Schmölln (Thür);201161
Bahnhof (Bus) Schönebeck (Elbe);956677
Bahnhof (Bus) Schönhausen (Elbe);960980
Bahnhof (Bus) Staßfurt;953445
Bahnhof (Bus) Stühlingen;502511
Bahnhof (Bus) Tangerhütte;957777
Bahnhof (Bus) Tangermünde;958551
Bahnhof (Bus) Teuchern;960446
Bahnhof (Bus) Torgau;973224
Bahnhof (Bus) Wegberg;268283
Bahnhof (Bus) Wegeleben;962091
Bahnhof (Bus) Wolmirstedt;959196
Bahnhof (Bus) Wurzen;959931
Bahnhof (Bus) Zell im Wiesental;502168
Bahnhof (Bus) Zerbst/Anhalt;954939
Bahnhof (Bus) Zinnowitz;332483
Bahnhof (Bus) Übach-Palenberg;586030
Bahnhof (Ersatz Ausstieg) Seligenstadt;140499
Bahnhof (Ersatzhalt Bus) Schmölln (Thür);130502
Bahnhof (Flugfeld) Böblingen;556451
Bahnhof (Fähre) Kiel;360901
Bahnhof (Hst 1/A) Unna;902789
Bahnhof (Hst 2/B) Unna;902864
Bahnhof (Hst 3/C) Unna;902788
Bahnhof (Hst 4/D) Unna;902890
Bahnhof (Hst B1/1) Ahaus;901949
Bahnhof (Hst B2/2) Ahaus;901927
Bahnhof (Hst C2/4) Ahaus;901821
Bahnhof (Hst C3/5) Ahaus;901820
Bahnhof (Industriegebiet) Malsch (Kreis Karlsruhe;421213
Bahnhof (Industriestr) Renningen;556471
Bahnhof (Kirchenstraße) Brokstedt;355023
Bahnhof (Mimmenhausen) Salem (Baden);491236
Bahnhof (Nord) Ottersberg;604050
Bahnhof (Nordseite) Eichenau;626338
Bahnhof (Nordseite) Vaterstetten;625300
Bahnhof (Ostseite) Baiersdorf;675867
Bahnhof (Ostseite) Höhenkirchen-Siegertsbrunn;625866
Bahnhof (Ostseite) Kaltenkirchen;701344
